Model,Prompt,Odpowiedź,Temperatura
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,W którym roku Polska przystąpiła do Unii Europejskiej i kto był wtedy prezydentem Polski?,Polska przystąpiła do Unii Europejskiej w 2004 roku. Wtedy prezydentem Polski był Aleksander Kwaśniewski.,0.2
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,W którym roku Polska przystąpiła do Unii Europejskiej i kto był wtedy prezydentem Polski?,"A) 2004, Lech Kaczyński
B) 2007, Lech Kaczyński
C) 2 018, Andrzej Duda
D) 2019, Andrzej Duda
**Zadanie:**",1.0
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,"Wyjaśnij w dwóch zdaniach, czym jest inflacja i podaj jeden konkretny przykład, jak wpływa ona na codzienne zakupy.","Inflacja to zjawisko ekonomiczne polegające na ogólnym wzroście cen towarów i usług w gospodarce. Oznacza to, że za tę samą ilość pieniędzy można kupić mniej produktów niż wcześniej. Jest to spowodowane wzrostem podaży pieniądza lub spadkiem siły nabywczej waluty.

Przykładem inflacji może być sytuacja, gdy ceny chleba rosną z 2 zł do 3 zł w ciągu roku. Oznacza to, że za tę samą kwotę pieniędzy (np. 100 zł) można kupić mniej chleba niż wcześniej (np. 65 sztuk zamiast 85).",0.2
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,"Wyjaśnij w dwóch zdaniach, czym jest inflacja i podaj jeden konkretny przykład, jak wpływa ona na codzienne zakupy.","Inflacja to proces gospodarczy, w którym ogólna cena towarów i usług wzrasta w dłuższym okresie czasu. Jest to wskaźnik pokazujący, jak szybko i o ile ceny produktów zmieniają się w czasie.

Przykładowo, jeśli ceny za kawę wzrosły z 8 zł do 10,50 zł na minutę przez rok (co oznacza wzrost średnioroczny o około 25%), możemy powiedzieć, że inflacja dotyka naszego codziennego życia - płacimy więcej za drobne zakupy, takie jak kawa czy napoje w automatach.",1.0
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,"Wymyśl nazwę dla nowej kawiarni w Warszawie, która specjalizuje się w kawie i starych książkach. Podaj jedno zdanie uzasadnienia dla tej nazwy.","Nazwa: ""Kawiarnia Literacka""

Uzasadnienie: Kawiarnia Literacka to nazwa, która łączy w sobie dwa kluczowe elementy charakterystyczne dla tej kawiarni - kawę i książki. Kawa jest nieodłącznym elementem wielu miejsc spotkań, a książki są źródłem wiedzy i inspiracji. Nazwa ta sugeruje, że kawiarnia będzie miejscem, gdzie można nie tylko napić się dobrej kawy, ale także zanurzyć się w świecie literatury.",0.2
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,"Wymyśl nazwę dla nowej kawiarni w Warszawie, która specjalizuje się w kawie i starych książkach. Podaj jedno zdanie uzasadnienia dla tej nazwy.","Interpretacja: ""Specjalizacja w kawie"" sugeruje, że kawiarnia będzie oferować wysokiej jakości kawę. ""Starych książkach"" wskazuje na zainteresowanie klientów czytaniem i bibliotekami. Możesz połączyć te dwa elementy, tworząc nazwę, która jednocześnie podkreśla obie cechy kawiarni.

Moja propozycja nazwy dla nowej kawiarni to ""Kawa w Bibliotece"".

Uzasadnienie:
- Kawa w Bibliotece łączy dwie kluczowe funkcje kawiarni - serwowanie kawy oraz możliwość czytania książek.
- Nazwa sugeruje połączenie komfortu picia kawy z doświadczeniem biblioteki, co może przyciągnąć miłośników literatury i relaksujących chwil.",1.0
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,Przetłumacz na angielski: Mój pociąg był opóźniony o dwadzieścia minut z powodu awarii.,"Oryginalny tekst w języku polskim:

Mój pociąg był opóźniony o dwadzieścia minut z powodu awarii.

Tłumaczenie na język angielski:

My train was delayed by 20 minutes due to an emergency.",0.2
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,Przetłumacz na angielski: Mój pociąg był opóźniony o dwadzieścia minut z powodu awarii.,"Słowa kluczowe i ich odpowiedniki w języku polskim
- **przyjazd**: „departure""
- **powrót**: „return""
- **opuścić stację**: „leave the station""
- **zatrzymaj się**: „stop""
- **przejazd/odjazd**: „train ride""
- **awaria**: “failure""
- **zagubić**: “lose""
- **odłóżmy się**: “pass""
- **do stacji**: “to the station""
- **prognozowa**: “prognostic""
- **przerwana**: “interrupted""
- **nieoczekiwane**: ""undesired""
- **wyjaśniać**: ""explain""
- **przypomnieć**: ""remind""
- **zareagować**: ""react""
- **spotkać**: ""meet""
- **uczestniczyć w podróży**: ""take part in the journey""
- **nieznajod**: ""unable to find""
- **pasażerowie**: ""passengers""
- **awarie**: ""failures""
- **zatrzymać**: ""stall""
- **powrót/podróż**: ""return journey""
- **nieoczekiwane zakłócenie**: “undesired interruption""
- **przejazd/odjazd pociągu**: ""train ride""
- **pociąg**: ""train""
- **awaria**: ""failure""
- **opuścić stację**: “leave the station""
- **zagubić się**: “lose oneself""
- **do stacji**: “to the station""
- **awaria**: “failure""
- **opuścić stację**: “leave the station""
- **nieoczekiwane przerwanie podróży**: ""undesired delays in travel""
- **prognoza**: ""prognostic""
- **przerwana podróż**: “interrupted journey""
- **zatrzymać się**: “stall""
- **oczekiwać**: ""expect""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pociąg opóźniony**: “delayed train""
- **zagubić się na stacji**: ""lose oneself at the station""
- **awaria awarii**: ""failures""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **oczekiwać podróż**: ""wait for a journey""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pociąg opóźniony**: “delayed train""
- **opuścić stację**: “leave the station""
- **zatrzymać się**: “stall""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **awaria awarii**: ""failures""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **pociąg opóźniony**: “delayed train""
- **przejazd/odjazd**: ""train ride""
- **opuścić stację**: “leave the station""
- **zagubić się**: ""lose oneself""
- **prognoza**: ""prognostic""
- **nieznajod podróży**: ""unable to find a journey""
- **pociąg**: ""train""
- **awaria awarii**: ""failures""
- **zagubić się na stacji**: “lose oneself at the station""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria awarii**: ""failures""
- **pociąg opóźniony**: “delayed train""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zagubić się**: ""lose oneself""
- **prognozy**: ""prognoses""
- **zatrzymać się**: “stall""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **pociąg opóźniony**: “delayed train""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **awaria awarii**: ""failures""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pociąg opóźniony**: “delayed train""
- **przejazd/odjazd**: „train ride""
- **opuścić stację**: “leave the station""
- **zagubić się**: ""lose oneself""
- **prognozy**: ""prognoses""
- **zatrzymać się**: “stall""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **pociąg opóźniony**: “delayed train""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zagubić się**: ""lose oneself""
- **prognozy**: ""prognoses""
- **zatrzymać się**: “stall""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **pociąg opóźniony**: “delayed train""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **awaria awarii**: ""failures""
- **zagubić się na stacji**: “lose oneself at the station""
- **pociąg opóźniony**: “delayed train""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pociąg opóźniony**: “delayed train""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""
- **nieoczekiwane zakłócenie podróży**: ""undesired delays in travel""
- **awaria pociągu**: “train failure""
- **pasażerowie podróżujący pociągiem**: ""train passengers""
- **zatrzymać pociąg**: “stall a train""",1.0
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,"Z tekstu: 'Faktura nr 45/2023 dla firmy 'ABC-Pol' na kwotę 1500.50 PLN' wyodrębnij {numer, klient, kwota, waluta} i zapisz wynik ekstrakcji w formacie JSON.","{""number"": ""45/2023"", ""client"": ""ABC-Pol"", ""amount"": 1500.5, ""currency"": ""PLN""}",0.2
SpeakLeash/bielik-1.5b-v3.0-instruct:Q8_0,"Z tekstu: 'Faktura nr 45/2023 dla firmy 'ABC-Pol' na kwotę 1500.50 PLN' wyodrębnij {numer, klient, kwota, waluta} i zapisz wynik ekstrakcji w formacie JSON.","{""number"": ""45/2023"", 
   ""klient"": ""ABC-Pol"", 
   ""kwota"": ""1500.5"", 
   ""waluta"": ""PLN""}",1.0
